id,category,medium,subject,bclass,chapter_no,chapter_name,pages,link
309,4,1,1,5,4,Operation On Whole Number,36,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+4.pdf
308,4,1,1,5,3,Whole Number ,15,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+3.pdf
307,4,1,1,5,2,Playing With Number ,55,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+2.pdf
306,4,1,1,5,1,Knowning Our Number ,33,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/6th/chapter+1.pdf 
305,3,1,1,5,24,Data ,1,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+24.pdf
304,3,1,1,5,23,Data Handling-3,2,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+23.pdf
303,3,1,1,5,22,Data Handling-2,22,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+22.pdf
302,3,1,1,5,21,Data Handling-1,2,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+21.pdf
301,3,1,1,5,20,Mensuration ,3,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+20.pdf
300,3,1,1,5,19,Geometric Construction ,1,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+19.pdf
299,3,1,1,5,18,Basic Geometric Tool,2,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+18.pdf
298,3,1,1,5,17,Symmetry,4,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+17.pdf
297,3,1,1,5,16,Understanding 3D,5,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+16.pdf
